Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Portland,Weekly,"2020-01-05 00:00:00",Organic,1.600000000,29529.65,196.79,10562.55,0.00,18770.31,6483.67,12206.08,80.56
Raleigh/Greensboro,Weekly,"2020-01-26 00:00:00",Organic,1.860000000,17992.59,933.59,3548.17,194.06,13316.77,11532.12,1784.65,0.00
Raleigh/Greensboro,Weekly,"2020-01-19 00:00:00",Organic,1.970000000,15448.73,987.50,3642.60,238.70,10579.93,7688.21,2891.72,0.00
Raleigh/Greensboro,Weekly,"2020-01-12 00:00:00",Organic,2.080000000,14694.23,206.66,3682.27,94.82,10710.48,8726.24,1984.24,0.00
Raleigh/Greensboro,Weekly,"2020-01-05 00:00:00",Organic,1.870000000,17410.53,2.21,3630.53,48.50,13729.29,9999.87,3729.42,0.00
Richmond/Norfolk,Weekly,"2020-01-26 00:00:00",Organic,1.240000000,21960.69,111.92,1634.61,5.32,20208.84,18482.27,1726.57,0.00
Richmond/Norfolk,Weekly,"2020-01-19 00:00:00",Organic,1.540000000,14071.60,29.19,1869.51,7.96,12164.94,9278.93,2886.01,0.00
Richmond/Norfolk,Weekly,"2020-01-12 00:00:00",Organic,1.210000000,20628.64,41.00,2239.67,9.25,18338.72,14336.84,4001.88,0.00
Richmond/Norfolk,Weekly,"2020-01-05 00:00:00",Organic,0.940000000,28332.88,19.89,2018.97,21.04,26272.98,22532.82,3740.16,0.00
Roanoke,Weekly,"2020-01-26 00:00:00",Organic,1.130000000,18204.04,25.79,1377.28,0.00,16800.97,14152.26,2648.71,0.00
Roanoke,Weekly,"2020-01-19 00:00:00",Organic,1.080000000,13672.93,9.72,1420.29,0.00,12242.92,8123.04,4119.88,0.00
Roanoke,Weekly,"2020-01-12 00:00:00",Organic,1.050000000,16050.51,33.80,1789.98,0.00,14226.73,7990.62,6236.11,0.00
Roanoke,Weekly,"2020-01-05 00:00:00",Organic,0.870000000,18932.70,7.12,1306.40,0.00,17619.18,13335.65,4283.53,0.00
Sacramento,Weekly,"2020-01-26 00:00:00",Organic,1.690000000,15658.57,1742.58,1881.04,0.00,12034.95,12031.81,3.14,0.00
Sacramento,Weekly,"2020-01-19 00:00:00",Organic,1.730000000,15450.98,1887.98,2295.86,0.00,11267.14,11264.00,3.14,0.00
Sacramento,Weekly,"2020-01-12 00:00:00",Organic,1.730000000,14862.41,1978.13,2523.62,0.00,10360.66,10354.41,6.25,0.00
Sacramento,Weekly,"2020-01-05 00:00:00",Organic,1.750000000,17627.39,2019.30,2555.47,0.00,13052.62,13043.26,9.36,0.00
"San Diego",Weekly,"2020-01-26 00:00:00",Organic,1.720000000,27585.40,820.20,929.47,0.00,25835.73,17990.33,7845.40,0.00
"San Diego",Weekly,"2020-01-19 00:00:00",Organic,1.790000000,36225.12,1030.24,1039.07,0.00,34155.81,21476.89,12678.92,0.00
"San Diego",Weekly,"2020-01-12 00:00:00",Organic,1.800000000,34982.33,1139.06,1023.82,0.00,32819.45,18255.88,14563.57,0.00
"San Diego",Weekly,"2020-01-05 00:00:00",Organic,1.630000000,27263.25,913.60,838.39,0.00,25511.26,14415.75,11095.51,0.00
"San Francisco",Weekly,"2020-01-26 00:00:00",Organic,2.000000000,58211.27,3308.83,4281.27,0.00,50621.17,50503.30,117.87,0.00
"San Francisco",Weekly,"2020-01-19 00:00:00",Organic,2.030000000,55185.39,6835.53,5017.46,0.00,43332.40,43303.85,28.55,0.00
"San Francisco",Weekly,"2020-01-12 00:00:00",Organic,2.030000000,52045.62,5607.84,5382.79,0.00,41054.99,40969.59,85.40,0.00
"San Francisco",Weekly,"2020-01-05 00:00:00",Organic,1.980000000,67140.53,4048.98,5368.47,0.00,57723.08,57644.75,78.33,0.00
Seattle,Weekly,"2020-01-26 00:00:00",Organic,1.480000000,67461.35,263.71,32480.37,7.99,34709.28,8302.69,26406.59,0.00
Seattle,Weekly,"2020-01-19 00:00:00",Organic,1.490000000,85385.70,172.65,21678.37,11.95,63522.73,5032.28,58484.55,5.90
Seattle,Weekly,"2020-01-12 00:00:00",Organic,1.810000000,41949.49,235.35,7606.24,4.01,34103.89,14382.52,19721.37,0.00
Seattle,Weekly,"2020-01-05 00:00:00",Organic,1.590000000,40220.62,256.56,11983.69,0.00,27980.37,11379.41,16583.14,17.82
"South Carolina",Weekly,"2020-01-26 00:00:00",Organic,1.530000000,20761.79,558.65,3632.69,130.01,16440.44,13976.22,2464.22,0.00
"South Carolina",Weekly,"2020-01-19 00:00:00",Organic,1.610000000,16881.66,580.55,3683.97,110.01,12507.13,8572.61,3934.52,0.00
"South Carolina",Weekly,"2020-01-12 00:00:00",Organic,1.510000000,18172.64,246.69,3480.47,52.07,14393.41,10765.49,3627.92,0.00
"South Carolina",Weekly,"2020-01-05 00:00:00",Organic,1.550000000,18537.67,55.44,3353.25,47.63,15081.35,10505.61,4575.74,0.00
"South Central",Weekly,"2020-01-26 00:00:00",Organic,1.340000000,131314.57,18204.79,1457.13,2749.30,108903.35,76929.66,31973.69,0.00
"South Central",Weekly,"2020-01-19 00:00:00",Organic,1.330000000,137373.85,12363.23,1961.76,2658.09,120390.77,87529.96,32860.81,0.00
"South Central",Weekly,"2020-01-12 00:00:00",Organic,1.350000000,152589.59,17136.21,2151.70,3055.56,130246.12,96344.60,33901.52,0.00
"South Central",Weekly,"2020-01-05 00:00:00",Organic,1.340000000,135702.00,22194.46,1850.62,2192.75,109464.17,82393.54,27070.63,0.00
Southeast,Weekly,"2020-01-26 00:00:00",Organic,1.290000000,141103.93,2187.95,11497.93,137.82,127280.23,111558.06,15722.17,0.00
Southeast,Weekly,"2020-01-19 00:00:00",Organic,1.250000000,126013.19,1858.55,13049.16,117.08,110988.40,83199.26,27789.14,0.00
Southeast,Weekly,"2020-01-12 00:00:00",Organic,1.240000000,144286.90,1791.42,13031.03,55.62,129408.83,98627.86,30780.97,0.00
Southeast,Weekly,"2020-01-05 00:00:00",Organic,1.290000000,127700.34,1576.95,11286.49,51.07,114785.83,89447.41,25338.42,0.00
Spokane,Weekly,"2020-01-26 00:00:00",Organic,1.630000000,4704.77,14.98,1200.66,0.00,3489.13,1296.60,2192.53,0.00
Spokane,Weekly,"2020-01-19 00:00:00",Organic,1.620000000,5156.77,25.52,867.68,0.00,4263.57,872.74,3390.83,0.00
Spokane,Weekly,"2020-01-12 00:00:00",Organic,1.370000000,4438.60,55.30,1008.13,0.00,3375.17,1810.76,1564.41,0.00
Spokane,Weekly,"2020-01-05 00:00:00",Organic,1.730000000,3356.13,48.45,931.10,0.00,2376.58,2243.16,133.42,0.00
"St. Louis",Weekly,"2020-01-26 00:00:00",Organic,2.090000000,9071.57,2851.65,1776.60,0.00,4443.32,2220.00,2223.32,0.00
"St. Louis",Weekly,"2020-01-19 00:00:00",Organic,1.300000000,25244.97,19209.95,1943.75,0.00,4091.27,1726.17,2365.10,0.00
"St. Louis",Weekly,"2020-01-12 00:00:00",Organic,1.950000000,8091.67,1095.71,2084.13,0.00,4911.83,2833.33,2078.50,0.00
"St. Louis",Weekly,"2020-01-05 00:00:00",Organic,2.070000000,7833.62,1229.32,2310.66,0.00,4293.64,2039.26,2254.38,0.00
Syracuse,Weekly,"2020-01-26 00:00:00",Organic,1.430000000,3266.78,120.44,97.02,0.00,3049.32,1744.95,1304.37,0.00
Syracuse,Weekly,"2020-01-19 00:00:00",Organic,1.270000000,3650.33,80.19,52.43,0.00,3517.71,749.48,2768.23,0.00
Syracuse,Weekly,"2020-01-12 00:00:00",Organic,1.200000000,4401.25,168.26,93.78,0.00,4139.21,954.87,3184.34,0.00
Syracuse,Weekly,"2020-01-05 00:00:00",Organic,1.170000000,4228.66,86.67,83.77,0.00,4058.22,990.95,3067.27,0.00
Tampa,Weekly,"2020-01-26 00:00:00",Organic,1.150000000,9497.86,123.53,1.00,0.00,9373.33,9373.33,0.00,0.00
Tampa,Weekly,"2020-01-19 00:00:00",Organic,1.150000000,8500.38,138.17,0.00,0.00,8362.21,8362.21,0.00,0.00
Tampa,Weekly,"2020-01-12 00:00:00",Organic,1.150000000,10241.99,214.22,0.00,0.00,10027.77,10027.77,0.00,0.00
Tampa,Weekly,"2020-01-05 00:00:00",Organic,1.150000000,9233.65,165.09,3.00,0.00,9065.56,9065.56,0.00,0.00
"Total U.S.",Weekly,"2020-01-26 00:00:00",Organic,1.440000000,1701009.45,108818.36,166076.47,4202.12,1421897.31,1190893.61,230944.34,59.36
"Total U.S.",Weekly,"2020-01-19 00:00:00",Organic,1.350000000,2058102.35,211748.69,184267.17,4167.88,1657863.84,1298598.30,359200.35,65.19
"Total U.S.",Weekly,"2020-01-12 00:00:00",Organic,1.410000000,1960946.80,152181.51,164251.09,4714.51,1639770.67,1282533.77,357168.72,68.18
"Total U.S.",Weekly,"2020-01-05 00:00:00",Organic,1.400000000,1661847.67,111735.11,180465.83,3006.45,1366605.00,1060725.23,305796.57,83.20
West,Weekly,"2020-01-26 00:00:00",Organic,1.440000000,337570.19,25168.68,60280.38,771.23,251349.90,196496.21,54794.33,59.36
West,Weekly,"2020-01-19 00:00:00",Organic,1.190000000,559212.70,62029.53,44795.39,789.95,451597.83,345160.78,106371.86,65.19
West,Weekly,"2020-01-12 00:00:00",Organic,1.260000000,493633.15,55368.84,28441.01,831.82,408991.48,348174.48,60748.82,68.18
West,Weekly,"2020-01-05 00:00:00",Organic,1.510000000,274540.27,23699.10,35818.42,469.71,214553.04,170725.09,43744.75,83.20
"West Tex/New Mexico",Weekly,"2020-01-26 00:00:00",Organic,1.400000000,26160.83,1372.13,504.69,1758.52,22525.49,20688.41,1837.08,0.00
"West Tex/New Mexico",Weekly,"2020-01-19 00:00:00",Organic,1.320000000,26229.10,1382.18,644.90,1774.35,22427.67,21265.82,1161.85,0.00
"West Tex/New Mexico",Weekly,"2020-01-12 00:00:00",Organic,1.340000000,24120.90,1187.01,617.72,2043.99,20272.18,18689.79,1582.39,0.00
"West Tex/New Mexico",Weekly,"2020-01-05 00:00:00",Organic,1.290000000,25878.23,1716.57,517.78,1298.84,22345.04,20561.19,1783.85,0.00
Albany,Weekly,"2020-02-23 00:00:00","Conventional ",1.270000000,137400.43,4595.03,108727.95,123.45,23954.00,10464.84,11904.72,1584.44
Albany,Weekly,"2020-02-16 00:00:00","Conventional ",1.170000000,111113.13,4818.50,80974.81,123.97,25195.85,10232.17,13425.91,1537.77
Albany,Weekly,"2020-02-09 00:00:00","Conventional ",1.140000000,128069.92,4697.68,97662.45,118.37,25591.42,10923.15,13096.05,1572.22
Albany,Weekly,"2020-02-02 00:00:00","Conventional ",0.950000000,211532.44,5355.48,179942.09,224.47,26010.40,12207.97,12379.10,1423.33
Atlanta,Weekly,"2020-02-23 00:00:00","Conventional ",0.920000000,739776.91,325105.51,35129.69,88.03,379453.68,312524.97,66903.63,25.08
Atlanta,Weekly,"2020-02-16 00:00:00","Conventional ",0.920000000,759742.93,287470.61,49706.62,52.00,422513.70,289811.73,132667.96,34.01
Atlanta,Weekly,"2020-02-09 00:00:00","Conventional ",0.950000000,874514.64,328125.60,67151.85,149.94,479087.25,292118.48,186950.58,18.19
Atlanta,Weekly,"2020-02-02 00:00:00","Conventional ",0.880000000,1011539.76,436791.05,67601.63,774.14,506372.94,359763.03,146579.82,30.09
Baltimore/Washington,Weekly,"2020-02-23 00:00:00","Conventional ",1.310000000,971156.57,122418.49,436182.38,2127.36,410428.34,254683.56,151608.12,4136.66
Baltimore/Washington,Weekly,"2020-02-16 00:00:00","Conventional ",1.320000000,947108.57,120999.81,402550.86,1635.51,421922.39,267827.44,148824.95,5270.00
Baltimore/Washington,Weekly,"2020-02-09 00:00:00","Conventional ",1.080000000,1196450.98,122987.76,577234.27,1811.11,494417.84,312869.36,176335.14,5213.34
Baltimore/Washington,Weekly,"2020-02-02 00:00:00","Conventional ",1.130000000,1282598.37,141042.32,486626.63,3356.63,651572.79,397500.37,253922.42,150.00
Boise,Weekly,"2020-02-23 00:00:00","Conventional ",1.000000000,140135.72,40579.74,6573.85,1274.04,91708.09,52155.70,27723.60,11828.79
Boise,Weekly,"2020-02-16 00:00:00","Conventional ",1.090000000,121103.74,41861.86,4913.93,1148.64,73179.31,39449.58,23091.19,10638.54
Boise,Weekly,"2020-02-09 00:00:00","Conventional ",0.970000000,138762.65,54658.92,5782.57,1831.26,76489.90,36876.99,31295.55,8317.36
Boise,Weekly,"2020-02-02 00:00:00","Conventional ",0.920000000,157296.29,51155.66,7015.17,2956.78,96168.68,60132.55,26333.46,9702.67
Boston,Weekly,"2020-02-23 00:00:00","Conventional ",1.310000000,741423.57,20153.02,440355.31,858.24,280057.00,152839.78,125047.22,2170.00
Boston,Weekly,"2020-02-16 00:00:00","Conventional ",1.350000000,682139.78,16834.48,441847.30,652.46,222805.54,131393.44,87515.43,3896.67
Boston,Weekly,"2020-02-09 00:00:00","Conventional ",1.240000000,820684.32,18612.56,518689.86,729.10,282652.80,119126.61,161666.19,1860.00
Boston,Weekly,"2020-02-02 00:00:00","Conventional ",1.190000000,859319.82,17581.35,556855.87,1270.45,283612.15,139883.29,143712.20,16.66
Buffalo/Rochester,Weekly,"2020-02-23 00:00:00","Conventional ",1.140000000,176173.75,11596.24,65284.89,30.00,99262.62,79815.33,16555.07,2892.22
Buffalo/Rochester,Weekly,"2020-02-16 00:00:00","Conventional ",1.170000000,164631.78,9953.46,74399.32,36.68,80242.32,61374.32,16519.11,2348.89
Buffalo/Rochester,Weekly,"2020-02-09 00:00:00","Conventional ",1.010000000,202013.58,10265.37,75793.18,67.53,115887.50,47896.03,64811.47,3180.00
Buffalo/Rochester,Weekly,"2020-02-02 00:00:00","Conventional ",0.970000000,258671.76,10021.00,110138.63,104.47,138407.66,67986.96,67682.92,2737.78
California,Weekly,"2020-02-23 00:00:00","Conventional ",1.100000000,7583526.37,1941571.88,842197.74,162816.05,4636940.70,2828626.54,1526732.97,281581.19
California,Weekly,"2020-02-16 00:00:00","Conventional ",1.110000000,6697917.24,1745495.46,1059151.82,151496.93,3741773.03,1621638.26,1795543.97,324590.80
California,Weekly,"2020-02-09 00:00:00","Conventional ",1.110000000,6851596.06,2112905.16,674538.79,291473.83,3772678.28,1822860.18,1470506.95,479311.15
California,Weekly,"2020-02-02 00:00:00","Conventional ",0.850000000,11197432.54,3138004.82,1448450.08,309766.52,6301211.12,3349847.78,2389749.50,561613.84
Charlotte,Weekly,"2020-02-23 00:00:00","Conventional ",1.100000000,339522.04,144429.81,57425.31,2714.16,134952.76,99857.86,35069.25,25.65
Charlotte,Weekly,"2020-02-16 00:00:00","Conventional ",1.090000000,323782.36,117530.59,45433.28,2035.01,158783.48,119115.84,39658.75,8.89
Charlotte,Weekly,"2020-02-09 00:00:00","Conventional ",1.030000000,337217.22,131357.11,42966.89,1967.96,160925.26,127156.72,33746.32,22.22
Charlotte,Weekly,"2020-02-02 00:00:00","Conventional ",0.820000000,488751.85,193582.35,70191.27,3084.16,221894.07,182620.21,39130.52,143.34
Chicago,Weekly,"2020-02-23 00:00:00","Conventional ",1.330000000,699283.03,88318.79,197881.81,31871.22,381211.21,148107.01,232948.51,155.69
Chicago,Weekly,"2020-02-16 00:00:00","Conventional ",1.200000000,713673.83,87767.03,188977.54,21696.19,415233.07,193806.79,221296.99,129.29
Chicago,Weekly,"2020-02-09 00:00:00","Conventional ",0.980000000,819224.47,88789.03,339700.08,18747.95,371987.41,255612.32,116037.40,337.69
Chicago,Weekly,"2020-02-02 00:00:00","Conventional ",0.730000000,1507323.36,147781.19,560271.73,29954.77,769315.67,594049.98,175128.18,137.51
Cincinnati/Dayton,Weekly,"2020-02-23 00:00:00","Conventional ",1.030000000,316744.15,69447.00,29913.42,7220.20,210163.53,189468.21,19107.54,1587.78
Cincinnati/Dayton,Weekly,"2020-02-16 00:00:00","Conventional ",1.010000000,279529.10,56829.28,10742.30,16406.25,195551.27,173358.72,19374.78,2817.77
Cincinnati/Dayton,Weekly,"2020-02-09 00:00:00","Conventional ",0.800000000,411678.83,56954.64,21874.51,37067.86,295781.82,248902.13,39855.83,7023.86
Cincinnati/Dayton,Weekly,"2020-02-02 00:00:00","Conventional ",0.750000000,472906.72,67612.78,31185.89,31335.30,342772.75,282787.52,42637.09,17348.14
Columbus,Weekly,"2020-02-23 00:00:00","Conventional ",0.950000000,228210.17,61318.96,28146.81,2139.06,136605.34,113304.61,23050.40,250.33
Columbus,Weekly,"2020-02-16 00:00:00","Conventional ",0.980000000,201903.66,57580.52,11388.88,1724.39,131209.87,107201.30,23673.99,334.58
Columbus,Weekly,"2020-02-09 00:00:00","Conventional ",0.750000000,273894.07,78837.40,19593.75,2159.49,173303.43,145882.13,26770.76,650.54
Columbus,Weekly,"2020-02-02 00:00:00","Conventional ",0.660000000,345776.34,87043.18,27405.23,2442.18,228885.75,189506.45,38138.75,1240.55
"Dallas/Ft. Worth",Weekly,"2020-02-23 00:00:00","Conventional ",0.740000000,1693283.99,736577.13,173493.38,9532.51,773680.97,452455.14,320795.74,430.09
"Dallas/Ft. Worth",Weekly,"2020-02-16 00:00:00","Conventional ",0.730000000,1660163.44,704238.51,143654.29,12054.50,800216.14,461310.14,338580.48,325.52
"Dallas/Ft. Worth",Weekly,"2020-02-09 00:00:00","Conventional ",0.680000000,1847053.36,794869.24,202406.36,10145.81,839631.95,447046.39,392322.29,263.27
"Dallas/Ft. Worth",Weekly,"2020-02-02 00:00:00","Conventional ",0.620000000,2165376.03,843800.00,219408.71,26684.09,1075483.23,633285.37,441816.90,380.96
Denver,Weekly,"2020-02-23 00:00:00","Conventional ",1.100000000,1054022.18,195544.82,128870.60,3002.06,726604.70,275557.57,440497.85,10549.28
Denver,Weekly,"2020-02-16 00:00:00","Conventional ",1.130000000,940026.13,200253.76,126120.84,3016.72,610634.81,232465.14,364674.24,13495.43
Denver,Weekly,"2020-02-09 00:00:00","Conventional ",0.940000000,1131741.25,232323.72,152931.87,3353.33,743132.33,221146.44,508968.90,13016.99
Denver,Weekly,"2020-02-02 00:00:00","Conventional ",0.930000000,1384951.69,235574.42,199539.86,4523.15,945314.26,344777.19,588992.90,11544.17
Detroit,Weekly,"2020-02-23 00:00:00","Conventional ",0.860000000,631269.19,110893.01,72463.14,105294.76,342618.28,308103.53,22897.73,11617.02
Detroit,Weekly,"2020-02-16 00:00:00","Conventional ",1.060000000,443582.22,85101.27,36739.46,35728.57,286012.92,256772.24,24329.61,4911.07
Detroit,Weekly,"2020-02-09 00:00:00","Conventional ",0.880000000,543880.81,122225.74,49767.15,61002.34,310885.58,279929.18,24998.31,5958.09
Detroit,Weekly,"2020-02-02 00:00:00","Conventional ",0.680000000,899959.89,153639.36,84941.34,123630.11,537749.08,487647.26,33798.33,16303.49
"Grand Rapids",Weekly,"2020-02-23 00:00:00","Conventional ",1.410000000,199948.45,6581.16,68714.94,73429.40,51222.95,29292.14,6616.27,15314.54
"Grand Rapids",Weekly,"2020-02-16 00:00:00","Conventional ",1.420000000,153339.65,6499.32,62201.20,41048.58,43590.55,28469.44,7161.94,7959.17
"Grand Rapids",Weekly,"2020-02-09 00:00:00","Conventional ",1.350000000,181904.25,6359.38,60999.14,62236.75,52308.98,33254.12,7329.79,11725.07
"Grand Rapids",Weekly,"2020-02-02 00:00:00","Conventional ",0.780000000,404414.31,6294.51,122625.63,129362.36,146131.81,113633.89,5773.97,26723.95
"Great Lakes",Weekly,"2020-02-23 00:00:00","Conventional ",1.040000000,4361002.54,842042.02,814215.69,378105.23,2326639.60,1622535.85,641157.70,62946.05
"Great Lakes",Weekly,"2020-02-16 00:00:00","Conventional ",1.080000000,3698254.13,736441.84,611498.37,193851.52,2156462.40,1519679.30,601295.51,35487.59
"Great Lakes",Weekly,"2020-02-09 00:00:00","Conventional ",0.900000000,4602190.37,884984.73,896740.63,298160.83,2522304.18,1901348.01,569253.79,51702.38
"Great Lakes",Weekly,"2020-02-02 00:00:00","Conventional ",0.720000000,7046734.20,1131463.36,1380279.90,530981.39,4004009.55,3139069.62,755153.63,109786.30
Harrisburg/Scranton,Weekly,"2020-02-23 00:00:00","Conventional ",1.110000000,352589.30,74291.70,153392.51,268.05,124637.04,99645.26,21075.12,3916.66
Harrisburg/Scranton,Weekly,"2020-02-16 00:00:00","Conventional ",1.030000000,381911.91,80585.27,173953.33,135.82,127237.49,104597.43,18641.59,3998.47
Harrisburg/Scranton,Weekly,"2020-02-09 00:00:00","Conventional ",0.960000000,477559.64,78039.12,267301.22,200.04,132019.26,107074.85,20476.63,4467.78
Harrisburg/Scranton,Weekly,"2020-02-02 00:00:00","Conventional ",1.010000000,415435.12,78854.79,199246.33,399.33,136934.67,115148.36,17940.75,3845.56
Hartford/Springfield,Weekly,"2020-02-23 00:00:00","Conventional ",1.420000000,348730.58,10208.22,250785.00,330.41,87406.95,62089.63,23571.77,1745.55
Hartford/Springfield,Weekly,"2020-02-16 00:00:00","Conventional ",1.430000000,345687.55,8662.15,259350.48,302.51,77372.41,57651.34,17073.29,2647.78
Hartford/Springfield,Weekly,"2020-02-09 00:00:00","Conventional ",1.420000000,419147.98,10103.71,317540.95,334.21,91169.11,65896.89,23058.89,2213.33
Hartford/Springfield,Weekly,"2020-02-02 00:00:00","Conventional ",1.220000000,504436.46,9467.39,411735.48,728.76,82504.83,64182.61,16886.67,1435.55
Houston,Weekly,"2020-02-23 00:00:00","Conventional ",0.700000000,1486884.53,567594.46,210551.98,1171.10,707566.99,182347.36,515716.30,9503.33
Houston,Weekly,"2020-02-16 00:00:00","Conventional ",0.700000000,1317948.42,546670.39,171862.59,1092.79,598322.65,265081.73,323340.93,9899.99
Houston,Weekly,"2020-02-09 00:00:00","Conventional ",0.620000000,1643929.09,631435.75,211778.88,1291.83,799422.63,272215.98,516709.99,10496.66
Houston,Weekly,"2020-02-02 00:00:00","Conventional ",0.630000000,1844743.02,628438.33,237810.33,1439.47,977054.89,334563.35,632051.54,10440.00
Indianapolis,Weekly,"2020-02-23 00:00:00","Conventional ",0.860000000,268717.73,76561.66,47016.90,3782.34,141356.83,132733.09,6962.82,1660.92
Indianapolis,Weekly,"2020-02-16 00:00:00","Conventional ",0.980000000,220644.81,63198.62,26563.55,3046.82,127835.82,120820.31,6485.14,530.37
Indianapolis,Weekly,"2020-02-09 00:00:00","Conventional ",0.760000000,289232.95,83237.75,41886.07,3663.00,160446.13,151706.57,7588.26,1151.30
Indianapolis,Weekly,"2020-02-02 00:00:00","Conventional ",0.690000000,398754.54,96314.99,53935.67,3782.57,244721.31,224599.67,17931.08,2190.56
Jacksonville,Weekly,"2020-02-23 00:00:00","Conventional ",1.020000000,237364.01,93978.41,7942.45,233.38,135209.77,46151.22,89048.55,10.00
Jacksonville,Weekly,"2020-02-16 00:00:00","Conventional ",1.000000000,242995.59,95836.03,8769.73,186.75,138203.08,47608.47,90587.94,6.67
Jacksonville,Weekly,"2020-02-09 00:00:00","Conventional ",1.010000000,269266.19,104719.24,9956.99,301.05,154288.91,43494.36,110790.11,4.44
Jacksonville,Weekly,"2020-02-02 00:00:00","Conventional ",0.880000000,371039.80,165392.98,15287.84,441.90,189917.08,43135.73,146781.35,0.00
"Las Vegas",Weekly,"2020-02-23 00:00:00","Conventional ",0.850000000,403049.63,58008.00,50785.95,81.15,294174.53,70039.39,223865.76,269.38
"Las Vegas",Weekly,"2020-02-16 00:00:00","Conventional ",0.960000000,413785.01,76579.48,54033.95,46.98,283124.60,67352.34,214182.26,1590.00
"Las Vegas",Weekly,"2020-02-09 00:00:00","Conventional ",0.880000000,415438.55,91777.15,54405.71,122.13,269133.56,76748.05,192284.40,101.11
"Las Vegas",Weekly,"2020-02-02 00:00:00","Conventional ",0.940000000,456825.90,85862.80,69430.07,332.68,301200.35,74617.68,226573.52,9.15
"Los Angeles",Weekly,"2020-02-23 00:00:00","Conventional ",0.980000000,3747775.07,978437.83,60012.12,131080.46,2578244.66,1667212.93,665498.66,245533.07
"Los Angeles",Weekly,"2020-02-16 00:00:00","Conventional ",1.140000000,2835062.56,860317.90,61977.28,117118.74,1795648.64,961689.31,558228.77,275730.56
"Los Angeles",Weekly,"2020-02-09 00:00:00","Conventional ",1.040000000,3419597.99,978147.40,75145.36,225266.42,2141038.81,1093146.19,651430.92,396461.70
"Los Angeles",Weekly,"2020-02-02 00:00:00","Conventional ",0.790000000,5383597.90,1688992.46,115192.13,243289.68,3336123.63,2010671.28,846378.82,479073.53
Louisville,Weekly,"2020-02-23 00:00:00","Conventional ",0.910000000,134478.23,39081.03,15136.63,143.73,80116.84,61406.06,18694.04,16.74
Louisville,Weekly,"2020-02-16 00:00:00","Conventional ",0.970000000,121175.95,37249.79,11274.02,60.45,72591.69,47073.64,25501.39,16.66
Louisville,Weekly,"2020-02-09 00:00:00","Conventional ",0.930000000,141569.26,28059.43,22626.46,97.64,90785.73,38219.44,52566.29,0.00
Louisville,Weekly,"2020-02-02 00:00:00","Conventional ",0.830000000,172561.58,33355.17,28129.20,172.00,110905.21,54100.71,56804.50,0.00
"Miami/Ft. Lauderdale",Weekly,"2020-02-23 00:00:00","Conventional ",1.050000000,1013154.96,428469.89,35881.47,450.09,548353.51,152341.94,395994.90,16.67
"Miami/Ft. Lauderdale",Weekly,"2020-02-16 00:00:00","Conventional ",1.010000000,1068544.17,406230.68,35261.82,356.08,626695.59,171939.11,454753.25,3.23
"Miami/Ft. Lauderdale",Weekly,"2020-02-09 00:00:00","Conventional ",1.040000000,1084311.24,458758.80,39343.29,510.19,585698.96,209591.01,376094.82,13.13
"Miami/Ft. Lauderdale",Weekly,"2020-02-02 00:00:00","Conventional ",0.900000000,1515888.74,631429.02,57976.19,1785.83,824697.70,199010.31,625651.44,35.95
Midsouth,Weekly,"2020-02-23 00:00:00","Conventional ",1.060000000,4184513.76,1323529.13,921808.53,12508.63,1926667.47,1369637.26,538371.64,18658.57
Midsouth,Weekly,"2020-02-16 00:00:00","Conventional ",1.070000000,4011493.92,1146947.13,854183.62,12161.86,1998201.31,1360340.67,616554.94,21305.70
Midsouth,Weekly,"2020-02-09 00:00:00","Conventional ",0.990000000,4554970.16,1157402.96,1146374.25,16587.50,2234605.45,1343277.51,869252.46,22075.48
Midsouth,Weekly,"2020-02-02 00:00:00","Conventional ",0.880000000,5587643.76,1641961.27,1186038.18,21386.19,2738258.12,1723937.81,1004715.36,9604.95
Nashville,Weekly,"2020-02-23 00:00:00","Conventional ",0.840000000,307392.93,117904.67,7744.98,17.69,181725.59,153611.88,28032.78,80.93
Nashville,Weekly,"2020-02-16 00:00:00","Conventional ",0.850000000,283345.80,106897.27,8101.51,39.95,168307.07,136973.91,31287.59,45.57
Nashville,Weekly,"2020-02-09 00:00:00","Conventional ",0.860000000,312298.91,109830.98,16884.03,5.17,185578.73,116793.45,68757.79,27.49
Nashville,Weekly,"2020-02-02 00:00:00","Conventional ",0.780000000,370280.16,143237.57,20268.50,155.24,206618.85,135725.30,70868.06,25.49
"New Orleans/Mobile",Weekly,"2020-02-23 00:00:00","Conventional ",0.940000000,301006.74,148983.85,9143.65,11.00,142868.24,93398.53,42396.38,7073.33
"New Orleans/Mobile",Weekly,"2020-02-16 00:00:00","Conventional ",0.850000000,349225.49,174098.39,16639.84,10.00,158477.26,105706.74,45023.86,7746.66
"New Orleans/Mobile",Weekly,"2020-02-09 00:00:00","Conventional ",0.860000000,367921.31,192872.83,18092.08,5.00,156951.40,103724.67,44363.40,8863.33
"New Orleans/Mobile",Weekly,"2020-02-02 00:00:00","Conventional ",0.600000000,572910.37,280765.88,39463.74,70.41,252610.34,176193.44,68103.57,8313.33
